ID;PAIS;UF;CIDADE;RUA;CEP;LOCAL;CONSOLIDADO
7020657983;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7020658270;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7020658357;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7020658451;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7020658783;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7020659086;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7020659208;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7020659573;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7020659890;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7020659976;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7021542396;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7025722846;Brasil;SP;SP;Rua José de Oliveira Coelho;05640-000;Local não especificado;Rua José de Oliveira Coelho, Jardim Parque Morumbi, Vila Andrade, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 05640-000, Brasil
7033638298;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7033638425;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7033638768;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7033639146;Brasil;SP;SP;Rua Doutor Rafael de Barros;04003-041;Local não especificado;Jojo Ramen, 262, Rua Doutor Rafael de Barros, Paraíso, Vila Mariana, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04003-041, Brasil
7033848345;Brasil;SP;SP;Rua João Cachoeira;04535-003;Local não especificado;Rua João Cachoeira, Itaim Bibi, SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, 04535-003, Brasil
